latObj,lonObj,altObj,latCurrent,lonCurrent,altCurrent,velObj,velCurrent, psiObj, psiCurrent,ex,ey,the,s_dot
49.393426666059, 2.70967390441256, 84.118, 49.3934249, 2.7096638, 84.118, 21.5, 24.228515625, 1.451842854, 1.445983924, 0.250249952144761, -0.108329069352925, 0.027909812, 17.5
49.3934277321179, 2.70968760882542, 84.118, 49.3934242, 2.7096674, 84.118, 21.5, 24.228515625, 1.451842854, 1.44023152, -0.501409106899748, -0.21628609401318, 0.027909812, 16.7467066509786
49.3934287981769, 2.70970131323858, 84.118, 49.3934236, 2.7096709, 84.118, 21.5, 24.228515625, 1.451842854, 1.43437259, -1.25895994399885, -0.312336123361184, 0.027909812, 15.6088895633382
49.3934298642359, 2.70971501765203, 84.118, 49.393423, 2.7096745, 84.118, 21.5, 24.228515625, 1.451842854, 1.428620186, -2.00926862178266, -0.409251719134407, 0.027803286, 14.4813784716862
49.3934309302948, 2.70972872206578, 84.118, 49.3934224, 2.7096781, 84.118, 21.5, 24.20654296875, 1.451842854, 1.427874504, -2.7596085068925, -0.506171268771244, 0.027803286, 13.355560764538
49.3934319963538, 2.70974242647983, 84.118, 49.3934218, 2.7096817, 84.118, 21.5, 24.18701171875, 1.451842854, 1.438740156, -3.50994748659813, -0.603083242927625, 0.027909812, 12.2335765855141
49.3934330624127, 2.70975613089417, 84.118, 49.3934213, 2.7096852, 84.118, 21.5, 24.1748046875, 1.451842854, 1.459832304, -4.26617914976256, -0.688095797252211, 0.028122864, 11.1001727543532
49.3934341284717, 2.70976983530882, 84.118, 49.3934208, 2.7096888, 84.118, 21.5, 24.1650390625, 1.451842854, 1.48923348, -5.01519895553352, -0.773970296385174, 0.028548968, 9.96496997635379
49.3934351945307, 2.70978353972376, 84.118, 49.3934203, 2.7096918, 84.119, 21.5, 24.16259765625, 1.451842854, 1.518741182, -5.80745960374351, -0.854676748284713, 0.028868546, 8.74966556671503
49.3934362605896, 2.709797244139, 84.118, 49.3934199, 2.7096954, 84.119, 21.5, 24.15771484375, 1.451842854, 1.558262328, -6.55515933017558, -0.929506196913803, 0.029507702, 7.56825982698434
49.3934373266486, 2.70981094855453, 84.118, 49.393419, 2.709702, 84.121, 21.5, 24.14794921875, 1.451842854, 1.635813256, -7.09320978822417, -1.08540656665465, 0.030786014, 6.56487492795767
49.3934383927076, 2.70982465297036, 84.118, 49.3934186, 2.7097056, 84.122, 21.5, 24.130859375, 1.451842854, 1.677571448, -7.84089436369534, -1.16023782609216, 0.031638222, 5.29470610632017
49.3934394587665, 2.70983835738649, 84.118, 49.3934181, 2.7097091, 84.124, 21.5, 24.1064453125, 1.451842854, 1.716559964, -8.59712512145556, -1.24524280493629, 0.03249043, 3.99472700890716
49.3934405248255, 2.70985206180292, 84.118, 49.3934177, 2.7097127, 84.125, 21.5, 24.06982421875, 1.451842854, 1.751500492, -9.34482575329184, -1.32007982904583, 0.033449164, 2.70291951048744
49.3934415908845, 2.70986576621965, 84.118, 49.3934172, 2.7097163, 84.127, 21.5, 24.0234375, 1.451842854, 1.78111472, -10.0938295026977, -1.40594856350676, 0.034194846, 1.41912143664412
49.3934426569434, 2.70987947063667, 84.118, 49.3934168, 2.7097193, 84.129, 21.5, 23.974609375, 1.451842854, 1.801141608, -10.8847852225297, -1.47560815409401, 0.034834002, 0.116048573806509
49.3934426569434, 2.70987947063667, 84.118, 49.3934158, 2.7097263, 84.132, 21.5, 23.828125, 1.451842854, 1.830436258, -11.3953234813042, -1.64599954276381, 0.035579684, -0.832239812551133
49.3934426569434, 2.70987947063667, 84.118, 49.3934154, 2.7097293, 84.132, 21.5, 23.759765625, 1.451842854, 1.834697298, -11.1843541335818, -1.71602541337169, 0.035473158, -0.543494765405246
49.3934426569434, 2.70987947063667, 84.118, 49.3934149, 2.7097328, 84.133, 21.5, 23.66943359375, 1.451842854, 1.834058142, -10.9386758801528, -1.80140243690849, 0.034834002, -0.170802237444676
49.3934437230024, 2.70989317505399, 84.118, 49.3934145, 2.7097357, 84.132, 21.5, 23.59375, 1.451842854, 1.82905142, -10.7349174844197, -1.87055878722754, 0.033662216, 0.167311055439221
49.3934437230024, 2.70989317505399, 84.118, 49.3934139, 2.7097392, 84.131, 21.5, 23.5009765625, 1.451842854, 1.818185768, -11.492469226923, -1.966616392056, 0.03142517, -0.899941421450471
49.3934437230024, 2.70989317505399, 84.118, 49.3934134, 2.7097427, 84.128, 21.5, 23.408203125, 1.451842854, 1.802846024, -11.2467909734939, -2.0519934155928, 0.028122864, -0.43719198999327
49.3934447890613, 2.70990687947161, 84.118, 49.3934129, 2.7097461, 84.124, 21.5, 23.31787109375, 1.451842854, 1.783884396, -11.0083094264974, -2.13651030512964, 0.023542246, 0.0316652983551435
49.3934447890613, 2.70990687947161, 84.118, 49.393412, 2.7097518, 84.114, 21.5, 23.1640625, 1.451842854, 1.747345978, -11.6112211482046, -2.28465860402035, 0.013422276, -0.675356219257836
49.3934447890613, 2.70990687947161, 84.118, 49.3934114, 2.7097553, 84.107, 21.5, 23.07373046875, 1.451842854, 1.724016784, -11.3668620687102, -2.38107310258057, 0.006071982, -0.194489733513429
49.3934458551203, 2.70992058388952, 84.118, 49.3934109, 2.7097587, 84.099, 21.5, 22.98095703125, 1.451842854, 1.70068759, -11.1283805217137, -2.46558999211741, -0.001917468, 0.268387076774104
49.3934458551203, 2.70992058388952, 84.118, 49.3934104, 2.7097621, 84.089, 21.5, 22.890625, 1.451842854, 1.678210604, -11.8918088913107, -2.54974241244204, -0.010439548, -0.784172608192055
