latObj,lonObj,altObj,latCurrent,lonCurrent,altCurrent,VelObj,VelCurrent
49.3938017077337, 2.71425439236681, 81.903, 49.3938028, 2.7142444, 81.906, 215, 288.5009765625
49.3937998154675, 2.71426788473309, 81.903, 49.393799, 2.7142606, 81.921, 215, 289.794921875
49.3937979232012, 2.71428137709886, 81.903, 49.393797, 2.714269, 81.928, 215, 290.478515625
49.3937960309349, 2.7142948694641, 81.903, 49.393796, 2.7142733, 81.932, 215, 290.7958984375
49.3937941386686, 2.71430836182883, 81.903, 49.3937952, 2.7142768, 81.935, 215, 291.064453125
49.3937922464023, 2.71432185419304, 81.903, 49.3937924, 2.7142889, 81.944, 215, 291.7724609375
49.3937903541361, 2.71433534655672, 81.903, 49.3937906, 2.7142967, 81.953, 215, 291.9189453125
49.3937884618698, 2.71434883891989, 81.903, 49.3937896, 2.7143009, 81.959, 215, 291.845703125
49.3937865696035, 2.71436233128254, 81.903, 49.3937888, 2.7143045, 81.964, 215, 291.7236328125
49.3937846773372, 2.71437582364466, 81.903, 49.3937858, 2.7143172, 81.993, 215, 290.6494140625
49.393782785071, 2.71438931600627, 81.903, 49.393785, 2.7143207, 82.004, 215, 290.1611328125
49.3937808928047, 2.71440280836736, 81.903, 49.3937839, 2.7143257, 82.021, 215, 289.3798828125
49.3937790005384, 2.71441630072793, 81.903, 49.3937815, 2.7143362, 82.067, 215, 287.1826171875
49.3937771082721, 2.71442979308798, 81.903, 49.393781, 2.7143383, 82.077, 215, 286.669921875
49.3937752160059, 2.71444328544751, 81.903, 49.3937799, 2.7143432, 82.104, 215, 285.400390625
49.3937733237396, 2.71445677780651, 81.903, 49.3937791, 2.7143466, 82.124, 215, 284.3994140625
49.3937714314733, 2.714470270165, 81.903, 49.3937782, 2.7143508, 82.151, 215, 283.1787109375
49.393769539207, 2.71448376252297, 81.903, 49.3937774, 2.7143542, 82.174, 215, 282.1044921875
49.3937676469408, 2.71449725488042, 81.903, 49.3937765, 2.7143583, 82.203, 215, 280.7861328125
49.3937657546745, 2.71451074723735, 81.903, 49.3937739, 2.7143705, 82.297, 215, 276.708984375
49.3937638624082, 2.71452423959376, 81.903, 49.3937723, 2.7143779, 82.357, 215, 274.1943359375
49.3937619701419, 2.71453773194965, 81.903, 49.3937715, 2.7143812, 82.385, 215, 273.046875
49.3937600778757, 2.71455122430502, 81.903, 49.3937706, 2.7143858, 82.423, 215, 271.435546875
49.3937600778757, 2.71455122430502, 81.903, 49.3937699, 2.7143891, 82.451, 215, 270.2880859375
49.3937581856094, 2.71456471665987, 81.903, 49.393769, 2.7143931, 82.484, 215, 268.9208984375
49.3937581856094, 2.71456471665987, 81.903, 49.3937683, 2.7143963, 82.51, 215, 267.7978515625
49.3937562933431, 2.7145782090142, 81.903, 49.3937667, 2.7144041, 82.573, 215, 265.1123046875
49.3937562933431, 2.7145782090142, 81.903, 49.3937653, 2.7144112, 82.626, 215, 262.6708984375
49.3937544010768, 2.71459170136801, 81.903, 49.3937631, 2.714422, 82.699, 215, 259.033203125
49.3937544010768, 2.71459170136801, 81.903, 49.3937624, 2.7144252, 82.718, 215, 257.9833984375
49.3937544010768, 2.71459170136801, 81.903, 49.3937617, 2.714429, 82.74, 215, 256.7138671875
49.3937525088106, 2.71460519372131, 81.903, 49.393761, 2.7144321, 82.757, 215, 255.6884765625
49.3937525088106, 2.71460519372131, 81.903, 49.3937594, 2.7144402, 82.795, 215, 253.0517578125
49.3937506165443, 2.71461868607408, 81.903, 49.3937588, 2.7144433, 82.807, 215, 252.0751953125
49.3937506165443, 2.71461868607408, 81.903, 49.3937581, 2.714447, 82.821, 215, 250.87890625
49.3937506165443, 2.71461868607408, 81.903, 49.3937573, 2.7144506, 82.833, 215, 249.7314453125
49.3937506165443, 2.71461868607408, 81.903, 49.3937566, 2.7144543, 82.843, 215, 248.583984375
49.393748724278, 2.71463217842633, 81.903, 49.3937552, 2.7144616, 82.859, 215, 246.3134765625
49.3937468320117, 2.71464567077806, 81.903, 49.3937532, 2.7144718, 82.872, 215, 243.212890625
49.3937468320117, 2.71464567077806, 81.903, 49.3937525, 2.7144753, 82.874, 215, 242.138671875
49.3937468320117, 2.71464567077806, 81.903, 49.3937518, 2.7144789, 82.875, 215, 241.064453125
49.3937468320117, 2.71464567077806, 81.903, 49.3937513, 2.7144818, 82.875, 215, 240.185546875
49.3937449397454, 2.71465916312927, 81.903, 49.3937507, 2.7144848, 82.874, 215, 239.3310546875
49.3937449397454, 2.71465916312927, 81.903, 49.3937501, 2.7144883, 82.872, 215, 238.3056640625
49.3937449397454, 2.71465916312927, 81.903, 49.3937494, 2.7144918, 82.87, 215, 237.2802734375
49.3937430474792, 2.71467265547996, 81.903, 49.3937482, 2.7144981, 82.862, 215, 235.4248046875
49.3937430474792, 2.71467265547996, 81.903, 49.3937463, 2.7145085, 82.846, 215, 232.470703125
49.3937411552129, 2.71468614783014, 81.903, 49.3937458, 2.7145113, 82.84, 215, 231.6650390625
49.3937411552129, 2.71468614783014, 81.903, 49.3937451, 2.7145147, 82.833, 215, 230.712890625
49.3937411552129, 2.71468614783014, 81.903, 49.3937446, 2.7145176, 82.827, 215, 229.931640625
49.3937392629466, 2.71469964017979, 81.903, 49.3937434, 2.7145243, 82.812, 215, 228.0517578125
49.3937392629466, 2.71469964017979, 81.903, 49.3937422, 2.714531, 82.795, 215, 226.1962890625
49.3937392629466, 2.71469964017979, 81.903, 49.3937416, 2.7145343, 82.786, 215, 225.2685546875
